country,iso3,year,variable,value
Denmark,DNK,2008,Intentional homicide,53.0
Denmark,DNK,2008,Prison population,3451.0
Denmark,DNK,2023,Intentional homicide,53.0
Denmark,DNK,2023,Prison population,4154.0
Denmark,DNK,2023,Rape,2375.0
Denmark,DNK,2023,Sexual violence,6766.0
Denmark,DNK,2023,Sexual assault,4391.0
Netherlands,NLD,2008,Intentional homicide,150.0
Netherlands,NLD,2008,Prison population,14610.0
Netherlands,NLD,2023,Intentional homicide,125.0
Netherlands,NLD,2023,Prison population,11681.0
Netherlands,NLD,2023,Rape,2455.0
Netherlands,NLD,2023,Sexual violence,5020.0
Netherlands,NLD,2023,Sexual assault,2560.0
Austria,AUT,2008,Intentional homicide,58.0
Austria,AUT,2008,Prison population,8248.0
Austria,AUT,2023,Intentional homicide,75.0
Austria,AUT,2023,Prison population,9089.0
Austria,AUT,2023,Rape,2328.0
Austria,AUT,2023,Sexual violence,5447.0
Austria,AUT,2023,Sexual assault,2805.0
Finland,FIN,2008,Intentional homicide,160.0
Finland,FIN,2008,Prison population,3530.0
Finland,FIN,2023,Intentional homicide,64.0
Finland,FIN,2023,Prison population,2962.0
Finland,FIN,2023,Rape,2416.0
Finland,FIN,2023,Sexual violence,6238.0
Finland,FIN,2023,Sexual assault,3822.0
Sweden,SWE,2008,Intentional homicide,82.0
Sweden,SWE,2008,Prison population,7073.0
Sweden,SWE,2023,Intentional homicide,121.0
Sweden,SWE,2023,Prison population,9748.0
Sweden,SWE,2023,Rape,8908.0
Sweden,SWE,2023,Sexual violence,20210.0
Sweden,SWE,2023,Sexual assault,10734.0
Iceland,ISL,2008,Intentional homicide,0.0
Iceland,ISL,2008,Prison population,140.0
Iceland,ISL,2023,Intentional homicide,5.0
Iceland,ISL,2023,Prison population,138.0
Iceland,ISL,2023,Rape,176.0
Iceland,ISL,2023,Sexual violence,504.0
Iceland,ISL,2023,Sexual assault,70.0
Norway,NOR,2008,Intentional homicide,34.0
Norway,NOR,2008,Prison population,3477.0
Norway,NOR,2023,Intentional homicide,40.0
Norway,NOR,2023,Prison population,3432.0
Norway,NOR,2023,Rape,2325.0
Norway,NOR,2023,Sexual violence,5262.0
Norway,NOR,2023,Sexual assault,2490.0
Switzerland,CHE,2008,Intentional homicide,54.0
Switzerland,CHE,2008,Prison population,5303.0
Switzerland,CHE,2023,Intentional homicide,53.0
Switzerland,CHE,2023,Prison population,6629.0
Switzerland,CHE,2023,Rape,839.0
Switzerland,CHE,2023,Sexual violence,4563.0
Switzerland,CHE,2023,Sexual assault,676.0
